location,description
PTG0001-EV-BTL01GU201-A51,DC Charger Charging Gun
ZOO0001-ES-WAC31GH101,DC Combiner box
PTG0001-EV-BTL01GU201-A61,DC Charger Contactor
PTG0001-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0001-EV-BTL01GU201-A81,DC Charger SECC
PTG0001-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0001-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0001-EV-BTL01GU201-F11,DC Charger IMD
PTG0001-EV-BTL01GU201-E01,DC Charger HMI
ZOO0001-ES-WAC12GH101-A08,DC Combiner box-String 8
ZOO0001-ES-CYE21CH002,INV SYS 2 - INV 1 - FFS2
ZOO0001-ES-CYE22CH001,INV SYS 2 - INV 2 - FFS1
ZOO0001-ES-CYE31CH001,INV SYS 3 - INV 1 - FFS1
ZOO0001-ES-BFA01GH001-A02,AC Combiner box- Surge
ZOO0001-ES-BFA02GH001-A02,AC Combiner box- Surge
ZOO0001-ES-WAQ00GH001,Zero Export Device (Power Quality Meter)
ZOO0001-ES-WAQ00BQ001,Solar Mounting
ZOO0001-ES-WAQ00BQ004,Lifeline
ZOO0001-ES-WAQ11GV001,DC Grounding INV1
ZOO0001-ES-WAQ31GV001,DC Grounding INV1
ZOO0001-ES-CYW00,Communication System
ZOO0001-ES-WAC11GH101-A06,DC Combiner box-String 6
ZOO0001-ES-WAC12GH101-A02,DC Combiner box-String 2
ZOO0001-ES-WAC21GH101-A07,DC Combiner box-String 7
ZOO0001-ES-WAC22GH101-A04,DC Combiner box-String 4
ZOO0001-ES-WAC31GH101-A08,DC Combiner box-String 8
MRTA0001-123,UAT 1234_edit
CHN,12345- Location 111111
ฺKTK,054801-Location
EP_TTTT,592309-Test Store
PTG0001-EV-BTL01GU201-H01,SIM for Charger
PTG0001-EV-CYA01GH001,Consumer Unit
PTG0001-EV-CYA01GN001,Router & POE Switch
PTG0001-EV-CYA01GN101,CCTV 1
PTG0001-EV-CYA01GN102,CCTV 2
PTG0001-EV-CYA01GN201,NVR
PTG0001-EV-CYA01GN301,SIM for Router
PTG0001-EV-CYA01GU001,UPS
PTG0001-EV-BJB01GH001,Lighting
ZOO0001-ES-WAC11GH101-A09,DC Combiner box-String 9
ZOO0001-ES-WAC12GH101-A05,DC Combiner box-String 5
